province,provinceid,city,cityid,county,countyid
北京市,11,市辖区,1101,东城区,110101
北京市,11,市辖区,1101,西城区,110102
北京市,11,市辖区,1101,朝阳区,110105
北京市,11,市辖区,1101,丰台区,110106
北京市,11,市辖区,1101,石景山区,110107
北京市,11,市辖区,1101,海淀区,110108
北京市,11,市辖区,1101,门头沟区,110109
北京市,11,市辖区,1101,房山区,110111
北京市,11,市辖区,1101,通州区,110112
北京市,11,市辖区,1101,顺义区,110113
北京市,11,市辖区,1101,昌平区,110114
北京市,11,市辖区,1101,大兴区,110115
北京市,11,市辖区,1101,怀柔区,110116
北京市,11,市辖区,1101,平谷区,110117
北京市,11,市辖区,1101,密云区,110118
北京市,11,市辖区,1101,延庆区,110119
天津市,12,市辖区,1201,和平区,120101
天津市,12,市辖区,1201,河东区,120102
天津市,12,市辖区,1201,河西区,120103
天津市,12,市辖区,1201,南开区,120104
天津市,12,市辖区,1201,河北区,120105
天津市,12,市辖区,1201,红桥区,120106
天津市,12,市辖区,1201,东丽区,120110
天津市,12,市辖区,1201,西青区,120111
天津市,12,市辖区,1201,津南区,120112
天津市,12,市辖区,1201,北辰区,120113
天津市,12,市辖区,1201,武清区,120114
天津市,12,市辖区,1201,宝坻区,120115
天津市,12,市辖区,1201,滨海新区,120116
天津市,12,市辖区,1201,宁河区,120117
天津市,12,市辖区,1201,静海区,120118
天津市,12,市辖区,1201,蓟州区,120119
河北省,13,石家庄市,1301,长安区,130102
河北省,13,石家庄市,1301,桥西区,130104
河北省,13,石家庄市,1301,新华区,130105
河北省,13,石家庄市,1301,井陉矿区,130107
河北省,13,石家庄市,1301,裕华区,130108
河北省,13,石家庄市,1301,藁城区,130109
河北省,13,石家庄市,1301,鹿泉区,130110
河北省,13,石家庄市,1301,栾城区,130111
河北省,13,石家庄市,1301,井陉县,130121
河北省,13,石家庄市,1301,正定县,130123
河北省,13,石家庄市,1301,行唐县,130125
河北省,13,石家庄市,1301,灵寿县,130126
河北省,13,石家庄市,1301,高邑县,130127
河北省,13,石家庄市,1301,深泽县,130128
河北省,13,石家庄市,1301,赞皇县,130129
河北省,13,石家庄市,1301,无极县,130130
河北省,13,石家庄市,1301,平山县,130131
河北省,13,石家庄市,1301,元氏县,130132
河北省,13,石家庄市,1301,赵县,130133
河北省,13,石家庄市,1301,辛集市,130181
河北省,13,石家庄市,1301,晋州市,130183
河北省,13,石家庄市,1301,新乐市,130184
河北省,13,唐山市,1302,路南区,130202
河北省,13,唐山市,1302,路北区,130203
河北省,13,唐山市,1302,古冶区,130204
河北省,13,唐山市,1302,开平区,130205
河北省,13,唐山市,1302,丰南区,130207
河北省,13,唐山市,1302,丰润区,130208
河北省,13,唐山市,1302,曹妃甸区,130209
河北省,13,唐山市,1302,滦县,130223
河北省,13,唐山市,1302,滦南县,130224
河北省,13,唐山市,1302,乐亭县,130225
河北省,13,唐山市,1302,迁西县,130227
河北省,13,唐山市,1302,玉田县,130229
河北省,13,唐山市,1302,遵化市,130281
河北省,13,唐山市,1302,迁安市,130283
河北省,13,秦皇岛市,1303,海港区,130302
河北省,13,秦皇岛市,1303,山海关区,130303
河北省,13,秦皇岛市,1303,北戴河区,130304
河北省,13,秦皇岛市,1303,抚宁区,130306
河北省,13,秦皇岛市,1303,青龙满族自治县,130321
河北省,13,秦皇岛市,1303,昌黎县,130322
河北省,13,秦皇岛市,1303,卢龙县,130324
河北省,13,邯郸市,1304,邯山区,130402
河北省,13,邯郸市,1304,丛台区,130403
河北省,13,邯郸市,1304,复兴区,130404
河北省,13,邯郸市,1304,峰峰矿区,130406
河北省,13,邯郸市,1304,肥乡区,130407
河北省,13,邯郸市,1304,永年区,130408
河北省,13,邯郸市,1304,临漳县,130423
河北省,13,邯郸市,1304,成安县,130424
河北省,13,邯郸市,1304,大名县,130425
河北省,13,邯郸市,1304,涉县,130426
河北省,13,邯郸市,1304,磁县,130427
河北省,13,邯郸市,1304,邱县,130430
河北省,13,邯郸市,1304,鸡泽县,130431
河北省,13,邯郸市,1304,广平县,130432
河北省,13,邯郸市,1304,馆陶县,130433
河北省,13,邯郸市,1304,魏县,130434
河北省,13,邯郸市,1304,曲周县,130435
河北省,13,邯郸市,1304,武安市,130481
河北省,13,邢台市,1305,桥东区,130502
河北省,13,邢台市,1305,桥西区,130503
河北省,13,邢台市,1305,邢台县,130521
河北省,13,邢台市,1305,临城县,130522
河北省,13,邢台市,1305,内丘县,130523
河北省,13,邢台市,1305,柏乡县,130524
河北省,13,邢台市,1305,隆尧县,130525
河北省,13,邢台市,1305,任县,130526
河北省,13,邢台市,1305,南和县,130527
河北省,13,邢台市,1305,宁晋县,130528
河北省,13,邢台市,1305,巨鹿县,130529
河北省,13,邢台市,1305,新河县,130530
河北省,13,邢台市,1305,广宗县,130531
河北省,13,邢台市,1305,平乡县,130532
河北省,13,邢台市,1305,威县,130533
河北省,13,邢台市,1305,清河县,130534
河北省,13,邢台市,1305,临西县,130535
河北省,13,邢台市,1305,南宫市,130581
河北省,13,邢台市,1305,沙河市,130582
河北省,13,保定市,1306,竞秀区,130602
河北省,13,保定市,1306,莲池区,130606
河北省,13,保定市,1306,满城区,130607
河北省,13,保定市,1306,清苑区,130608
河北省,13,保定市,1306,徐水区,130609
河北省,13,保定市,1306,涞水县,130623
河北省,13,保定市,1306,阜平县,130624
河北省,13,保定市,1306,定兴县,130626
河北省,13,保定市,1306,唐县,130627
河北省,13,保定市,1306,高阳县,130628
河北省,13,保定市,1306,容城县,130629
河北省,13,保定市,1306,涞源县,130630
河北省,13,保定市,1306,望都县,130631
河北省,13,保定市,1306,安新县,130632
河北省,13,保定市,1306,易县,130633
河北省,13,保定市,1306,曲阳县,130634
河北省,13,保定市,1306,蠡县,130635
河北省,13,保定市,1306,顺平县,130636
河北省,13,保定市,1306,博野县,130637
河北省,13,保定市,1306,雄县,130638
河北省,13,保定市,1306,涿州市,130681
河北省,13,保定市,1306,定州市,130682
河北省,13,保定市,1306,安国市,130683
河北省,13,保定市,1306,高碑店市,130684
河北省,13,张家口市,1307,桥东区,130702
河北省,13,张家口市,1307,桥西区,130703
河北省,13,张家口市,1307,宣化区,130705
河北省,13,张家口市,1307,下花园区,130706
河北省,13,张家口市,1307,万全区,130708
河北省,13,张家口市,1307,崇礼区,130709
河北省,13,张家口市,1307,张北县,130722
河北省,13,张家口市,1307,康保县,130723
河北省,13,张家口市,1307,沽源县,130724
河北省,13,张家口市,1307,尚义县,130725
河北省,13,张家口市,1307,蔚县,130726
河北省,13,张家口市,1307,阳原县,130727
河北省,13,张家口市,1307,怀安县,130728
河北省,13,张家口市,1307,怀来县,130730
河北省,13,张家口市,1307,涿鹿县,130731
河北省,13,张家口市,1307,赤城县,130732
河北省,13,承德市,1308,双桥区,130802
河北省,13,承德市,1308,双滦区,130803
河北省,13,承德市,1308,鹰手营子矿区,130804
河北省,13,承德市,1308,承德县,130821
河北省,13,承德市,1308,兴隆县,130822
河北省,13,承德市,1308,滦平县,130824
河北省,13,承德市,1308,隆化县,130825
河北省,13,承德市,1308,丰宁满族自治县,130826
河北省,13,承德市,1308,宽城满族自治县,130827
河北省,13,承德市,1308,围场满族蒙古族自治县,130828
河北省,13,承德市,1308,平泉市,130881
河北省,13,沧州市,1309,新华区,130902
河北省,13,沧州市,1309,运河区,130903
河北省,13,沧州市,1309,沧县,130921
河北省,13,沧州市,1309,青县,130922
河北省,13,沧州市,1309,东光县,130923
河北省,13,沧州市,1309,海兴县,130924
河北省,13,沧州市,1309,盐山县,130925
河北省,13,沧州市,1309,肃宁县,130926
河北省,13,沧州市,1309,南皮县,130927
河北省,13,沧州市,1309,吴桥县,130928
河北省,13,沧州市,1309,献县,130929
河北省,13,沧州市,1309,孟村回族自治县,130930
河北省,13,沧州市,1309,泊头市,130981
河北省,13,沧州市,1309,任丘市,130982
河北省,13,沧州市,1309,黄骅市,130983
河北省,13,沧州市,1309,河间市,130984
河北省,13,廊坊市,1310,安次区,131002
河北省,13,廊坊市,1310,广阳区,131003
河北省,13,廊坊市,1310,固安县,131022
河北省,13,廊坊市,1310,永清县,131023
河北省,13,廊坊市,1310,香河县,131024
河北省,13,廊坊市,1310,大城县,131025
河北省,13,廊坊市,1310,文安县,131026
河北省,13,廊坊市,1310,大厂回族自治县,131028
河北省,13,廊坊市,1310,霸州市,131081
河北省,13,廊坊市,1310,三河市,131082
河北省,13,衡水市,1311,桃城区,131102
河北省,13,衡水市,1311,冀州区,131103
河北省,13,衡水市,1311,枣强县,131121
河北省,13,衡水市,1311,武邑县,131122
河北省,13,衡水市,1311,武强县,131123
河北省,13,衡水市,1311,饶阳县,131124
河北省,13,衡水市,1311,安平县,131125
河北省,13,衡水市,1311,故城县,131126
河北省,13,衡水市,1311,景县,131127
河北省,13,衡水市,1311,阜城县,131128
河北省,13,衡水市,1311,深州市,131182
山西省,14,太原市,1401,小店区,140105
山西省,14,太原市,1401,迎泽区,140106
山西省,14,太原市,1401,杏花岭区,140107
山西省,14,太原市,1401,尖草坪区,140108
山西省,14,太原市,1401,万柏林区,140109
山西省,14,太原市,1401,晋源区,140110
山西省,14,太原市,1401,清徐县,140121
山西省,14,太原市,1401,阳曲县,140122
山西省,14,太原市,1401,娄烦县,140123
山西省,14,太原市,1401,古交市,140181
山西省,14,大同市,1402,新荣区,140212
山西省,14,大同市,1402,平城区,140213
山西省,14,大同市,1402,云冈区,140214
山西省,14,大同市,1402,云州区,140215
山西省,14,大同市,1402,阳高县,140221
山西省,14,大同市,1402,天镇县,140222
山西省,14,大同市,1402,广灵县,140223
山西省,14,大同市,1402,灵丘县,140224
山西省,14,大同市,1402,浑源县,140225
山西省,14,大同市,1402,左云县,140226
山西省,14,阳泉市,1403,城区,140302
山西省,14,阳泉市,1403,矿区,140303
山西省,14,阳泉市,1403,郊区,140311
山西省,14,阳泉市,1403,平定县,140321
山西省,14,阳泉市,1403,盂县,140322
山西省,14,长治市,1404,城区,140402
山西省,14,长治市,1404,郊区,140411
山西省,14,长治市,1404,长治县,140421
山西省,14,长治市,1404,襄垣县,140423
山西省,14,长治市,1404,屯留县,140424
山西省,14,长治市,1404,平顺县,140425
山西省,14,长治市,1404,黎城县,140426
山西省,14,长治市,1404,壶关县,140427
山西省,14,长治市,1404,长子县,140428
山西省,14,长治市,1404,武乡县,140429
山西省,14,长治市,1404,沁县,140430
山西省,14,长治市,1404,沁源县,140431
山西省,14,长治市,1404,潞城市,140481
山西省,14,晋城市,1405,城区,140502
山西省,14,晋城市,1405,沁水县,140521
山西省,14,晋城市,1405,阳城县,140522
山西省,14,晋城市,1405,陵川县,140524
山西省,14,晋城市,1405,泽州县,140525
山西省,14,晋城市,1405,高平市,140581
山西省,14,朔州市,1406,朔城区,140602
山西省,14,朔州市,1406,平鲁区,140603
山西省,14,朔州市,1406,山阴县,140621
山西省,14,朔州市,1406,应县,140622
山西省,14,朔州市,1406,右玉县,140623
山西省,14,朔州市,1406,怀仁市,140681
山西省,14,晋中市,1407,榆次区,140702
山西省,14,晋中市,1407,榆社县,140721
山西省,14,晋中市,1407,左权县,140722
山西省,14,晋中市,1407,和顺县,140723
山西省,14,晋中市,1407,昔阳县,140724
山西省,14,晋中市,1407,寿阳县,140725
山西省,14,晋中市,1407,太谷县,140726
山西省,14,晋中市,1407,祁县,140727
山西省,14,晋中市,1407,平遥县,140728
山西省,14,晋中市,1407,灵石县,140729
山西省,14,晋中市,1407,介休市,140781
山西省,14,运城市,1408,盐湖区,140802
山西省,14,运城市,1408,临猗县,140821
山西省,14,运城市,1408,万荣县,140822
山西省,14,运城市,1408,闻喜县,140823
山西省,14,运城市,1408,稷山县,140824
山西省,14,运城市,1408,新绛县,140825
山西省,14,运城市,1408,绛县,140826
山西省,14,运城市,1408,垣曲县,140827
山西省,14,运城市,1408,夏县,140828
山西省,14,运城市,1408,平陆县,140829
山西省,14,运城市,1408,芮城县,140830
山西省,14,运城市,1408,永济市,140881
山西省,14,运城市,1408,河津市,140882
山西省,14,忻州市,1409,忻府区,140902
山西省,14,忻州市,1409,定襄县,140921
山西省,14,忻州市,1409,五台县,140922
山西省,14,忻州市,1409,代县,140923
山西省,14,忻州市,1409,繁峙县,140924
山西省,14,忻州市,1409,宁武县,140925
山西省,14,忻州市,1409,静乐县,140926
山西省,14,忻州市,1409,神池县,140927
山西省,14,忻州市,1409,五寨县,140928
山西省,14,忻州市,1409,岢岚县,140929
山西省,14,忻州市,1409,河曲县,140930
山西省,14,忻州市,1409,保德县,140931
山西省,14,忻州市,1409,偏关县,140932
山西省,14,忻州市,1409,原平市,140981
山西省,14,临汾市,1410,尧都区,141002
山西省,14,临汾市,1410,曲沃县,141021
山西省,14,临汾市,1410,翼城县,141022
山西省,14,临汾市,1410,襄汾县,141023
山西省,14,临汾市,1410,洪洞县,141024
山西省,14,临汾市,1410,古县,141025
山西省,14,临汾市,1410,安泽县,141026
山西省,14,临汾市,1410,浮山县,141027
山西省,14,临汾市,1410,吉县,141028
山西省,14,临汾市,1410,乡宁县,141029
山西省,14,临汾市,1410,大宁县,141030
山西省,14,临汾市,1410,隰县,141031
山西省,14,临汾市,1410,永和县,141032
山西省,14,临汾市,1410,蒲县,141033
山西省,14,临汾市,1410,汾西县,141034
山西省,14,临汾市,1410,侯马市,141081
山西省,14,临汾市,1410,霍州市,141082
山西省,14,吕梁市,1411,离石区,141102
山西省,14,吕梁市,1411,文水县,141121
山西省,14,吕梁市,1411,交城县,141122
山西省,14,吕梁市,1411,兴县,141123
山西省,14,吕梁市,1411,临县,141124
山西省,14,吕梁市,1411,柳林县,141125
山西省,14,吕梁市,1411,石楼县,141126
山西省,14,吕梁市,1411,岚县,141127
山西省,14,吕梁市,1411,方山县,141128
山西省,14,吕梁市,1411,中阳县,141129
山西省,14,吕梁市,1411,交口县,141130
山西省,14,吕梁市,1411,孝义市,141181
山西省,14,吕梁市,1411,汾阳市,141182
内蒙古自治区,15,呼和浩特市,1501,新城区,150102
内蒙古自治区,15,呼和浩特市,1501,回民区,150103
内蒙古自治区,15,呼和浩特市,1501,玉泉区,150104
内蒙古自治区,15,呼和浩特市,1501,赛罕区,150105
内蒙古自治区,15,呼和浩特市,1501,土默特左旗,150121
内蒙古自治区,15,呼和浩特市,1501,托克托县,150122
内蒙古自治区,15,呼和浩特市,1501,和林格尔县,150123
内蒙古自治区,15,呼和浩特市,1501,清水河县,150124
内蒙古自治区,15,呼和浩特市,1501,武川县,150125
内蒙古自治区,15,包头市,1502,东河区,150202
内蒙古自治区,15,包头市,1502,昆都仑区,150203
内蒙古自治区,15,包头市,1502,青山区,150204
内蒙古自治区,15,包头市,1502,石拐区,150205
内蒙古自治区,15,包头市,1502,白云鄂博矿区,150206
内蒙古自治区,15,包头市,1502,九原区,150207
内蒙古自治区,15,包头市,1502,土默特右旗,150221
内蒙古自治区,15,包头市,1502,固阳县,150222
内蒙古自治区,15,包头市,1502,达尔罕茂明安联合旗,150223
内蒙古自治区,15,乌海市,1503,海勃湾区,150302
内蒙古自治区,15,乌海市,1503,海南区,150303
内蒙古自治区,15,乌海市,1503,乌达区,150304
内蒙古自治区,15,赤峰市,1504,红山区,150402
内蒙古自治区,15,赤峰市,1504,元宝山区,150403
内蒙古自治区,15,赤峰市,1504,松山区,150404
内蒙古自治区,15,赤峰市,1504,阿鲁科尔沁旗,150421
内蒙古自治区,15,赤峰市,1504,巴林左旗,150422
内蒙古自治区,15,赤峰市,1504,巴林右旗,150423
内蒙古自治区,15,赤峰市,1504,林西县,150424
内蒙古自治区,15,赤峰市,1504,克什克腾旗,150425
内蒙古自治区,15,赤峰市,1504,翁牛特旗,150426
内蒙古自治区,15,赤峰市,1504,喀喇沁旗,150428
内蒙古自治区,15,赤峰市,1504,宁城县,150429
内蒙古自治区,15,赤峰市,1504,敖汉旗,150430
内蒙古自治区,15,通辽市,1505,科尔沁区,150502
内蒙古自治区,15,通辽市,1505,科尔沁左翼中旗,150521
内蒙古自治区,15,通辽市,1505,科尔沁左翼后旗,150522
内蒙古自治区,15,通辽市,1505,开鲁县,150523
内蒙古自治区,15,通辽市,1505,库伦旗,150524
内蒙古自治区,15,通辽市,1505,奈曼旗,150525
内蒙古自治区,15,通辽市,1505,扎鲁特旗,150526
内蒙古自治区,15,通辽市,1505,霍林郭勒市,150581
内蒙古自治区,15,鄂尔多斯市,1506,东胜区,150602
内蒙古自治区,15,鄂尔多斯市,1506,康巴什区,150603
内蒙古自治区,15,鄂尔多斯市,1506,达拉特旗,150621
内蒙古自治区,15,鄂尔多斯市,1506,准格尔旗,150622
内蒙古自治区,15,鄂尔多斯市,1506,鄂托克前旗,150623
内蒙古自治区,15,鄂尔多斯市,1506,鄂托克旗,150624
内蒙古自治区,15,鄂尔多斯市,1506,杭锦旗,150625
内蒙古自治区,15,鄂尔多斯市,1506,乌审旗,150626
内蒙古自治区,15,鄂尔多斯市,1506,伊金霍洛旗,150627
内蒙古自治区,15,呼伦贝尔市,1507,海拉尔区,150702
内蒙古自治区,15,呼伦贝尔市,1507,扎赉诺尔区,150703
内蒙古自治区,15,呼伦贝尔市,1507,阿荣旗,150721
内蒙古自治区,15,呼伦贝尔市,1507,莫力达瓦达斡尔族自治旗,150722
内蒙古自治区,15,呼伦贝尔市,1507,鄂伦春自治旗,150723
内蒙古自治区,15,呼伦贝尔市,1507,鄂温克族自治旗,150724
内蒙古自治区,15,呼伦贝尔市,1507,陈巴尔虎旗,150725
内蒙古自治区,15,呼伦贝尔市,1507,新巴尔虎左旗,150726
内蒙古自治区,15,呼伦贝尔市,1507,新巴尔虎右旗,150727
内蒙古自治区,15,呼伦贝尔市,1507,满洲里市,150781
内蒙古自治区,15,呼伦贝尔市,1507,牙克石市,150782
内蒙古自治区,15,呼伦贝尔市,1507,扎兰屯市,150783
内蒙古自治区,15,呼伦贝尔市,1507,额尔古纳市,150784
内蒙古自治区,15,呼伦贝尔市,1507,根河市,150785
内蒙古自治区,15,巴彦淖尔市,1508,临河区,150802
内蒙古自治区,15,巴彦淖尔市,1508,五原县,150821
内蒙古自治区,15,巴彦淖尔市,1508,磴口县,150822
内蒙古自治区,15,巴彦淖尔市,1508,乌拉特前旗,150823
内蒙古自治区,15,巴彦淖尔市,1508,乌拉特中旗,150824
内蒙古自治区,15,巴彦淖尔市,1508,乌拉特后旗,150825
内蒙古自治区,15,巴彦淖尔市,1508,杭锦后旗,150826
内蒙古自治区,15,乌兰察布市,1509,集宁区,150902
内蒙古自治区,15,乌兰察布市,1509,卓资县,150921
内蒙古自治区,15,乌兰察布市,1509,化德县,150922
内蒙古自治区,15,乌兰察布市,1509,商都县,150923
内蒙古自治区,15,乌兰察布市,1509,兴和县,150924
内蒙古自治区,15,乌兰察布市,1509,凉城县,150925
内蒙古自治区,15,乌兰察布市,1509,察哈尔右翼前旗,150926
内蒙古自治区,15,乌兰察布市,1509,察哈尔右翼中旗,150927
内蒙古自治区,15,乌兰察布市,1509,察哈尔右翼后旗,150928
内蒙古自治区,15,乌兰察布市,1509,四子王旗,150929
内蒙古自治区,15,乌兰察布市,1509,丰镇市,150981
内蒙古自治区,15,兴安盟,1522,乌兰浩特市,152201
内蒙古自治区,15,兴安盟,1522,阿尔山市,152202
内蒙古自治区,15,兴安盟,1522,科尔沁右翼前旗,152221
内蒙古自治区,15,兴安盟,1522,科尔沁右翼中旗,152222
内蒙古自治区,15,兴安盟,1522,扎赉特旗,152223
内蒙古自治区,15,兴安盟,1522,突泉县,152224
内蒙古自治区,15,锡林郭勒盟,1525,二连浩特市,152501
内蒙古自治区,15,锡林郭勒盟,1525,锡林浩特市,152502
内蒙古自治区,15,锡林郭勒盟,1525,阿巴嘎旗,152522
内蒙古自治区,15,锡林郭勒盟,1525,苏尼特左旗,152523
内蒙古自治区,15,锡林郭勒盟,1525,苏尼特右旗,152524
内蒙古自治区,15,锡林郭勒盟,1525,东乌珠穆沁旗,152525
内蒙古自治区,15,锡林郭勒盟,1525,西乌珠穆沁旗,152526
内蒙古自治区,15,锡林郭勒盟,1525,太仆寺旗,152527
内蒙古自治区,15,锡林郭勒盟,1525,镶黄旗,152528
内蒙古自治区,15,锡林郭勒盟,1525,正镶白旗,152529
内蒙古自治区,15,锡林郭勒盟,1525,正蓝旗,152530
内蒙古自治区,15,锡林郭勒盟,1525,多伦县,152531
内蒙古自治区,15,阿拉善盟,1529,阿拉善左旗,152921
内蒙古自治区,15,阿拉善盟,1529,阿拉善右旗,152922
内蒙古自治区,15,阿拉善盟,1529,额济纳旗,152923
辽宁省,21,沈阳市,2101,和平区,210102
辽宁省,21,沈阳市,2101,沈河区,210103
辽宁省,21,沈阳市,2101,大东区,210104
辽宁省,21,沈阳市,2101,皇姑区,210105
辽宁省,21,沈阳市,2101,铁西区,210106
辽宁省,21,沈阳市,2101,苏家屯区,210111
辽宁省,21,沈阳市,2101,浑南区,210112
辽宁省,21,沈阳市,2101,沈北新区,210113
辽宁省,21,沈阳市,2101,于洪区,210114
辽宁省,21,沈阳市,2101,辽中区,210115
辽宁省,21,沈阳市,2101,康平县,210123
辽宁省,21,沈阳市,2101,法库县,210124
辽宁省,21,沈阳市,2101,新民市,210181
辽宁省,21,大连市,2102,中山区,210202
辽宁省,21,大连市,2102,西岗区,210203
辽宁省,21,大连市,2102,沙河口区,210204
辽宁省,21,大连市,2102,甘井子区,210211
辽宁省,21,大连市,2102,旅顺口区,210212
辽宁省,21,大连市,2102,金州区,210213
辽宁省,21,大连市,2102,普兰店区,210214
辽宁省,21,大连市,2102,长海县,210224
辽宁省,21,大连市,2102,瓦房店市,210281
辽宁省,21,大连市,2102,庄河市,210283
辽宁省,21,鞍山市,2103,铁东区,210302
辽宁省,21,鞍山市,2103,铁西区,210303
辽宁省,21,鞍山市,2103,立山区,210304
辽宁省,21,鞍山市,2103,千山区,210311
辽宁省,21,鞍山市,2103,台安县,210321
辽宁省,21,鞍山市,2103,岫岩满族自治县,210323
辽宁省,21,鞍山市,2103,海城市,210381
辽宁省,21,抚顺市,2104,新抚区,210402
辽宁省,21,抚顺市,2104,东洲区,210403
辽宁省,21,抚顺市,2104,望花区,210404
辽宁省,21,抚顺市,2104,顺城区,210411
辽宁省,21,抚顺市,2104,抚顺县,210421
辽宁省,21,抚顺市,2104,新宾满族自治县,210422
辽宁省,21,抚顺市,2104,清原满族自治县,210423
辽宁省,21,本溪市,2105,平山区,210502
辽宁省,21,本溪市,2105,溪湖区,210503
辽宁省,21,本溪市,2105,明山区,210504
辽宁省,21,本溪市,2105,南芬区,210505
辽宁省,21,本溪市,2105,本溪满族自治县,210521
辽宁省,21,本溪市,2105,桓仁满族自治县,210522
辽宁省,21,丹东市,2106,元宝区,210602
辽宁省,21,丹东市,2106,振兴区,210603
辽宁省,21,丹东市,2106,振安区,210604
辽宁省,21,丹东市,2106,宽甸满族自治县,210624
辽宁省,21,丹东市,2106,东港市,210681
辽宁省,21,丹东市,2106,凤城市,210682
辽宁省,21,锦州市,2107,古塔区,210702
辽宁省,21,锦州市,2107,凌河区,210703
辽宁省,21,锦州市,2107,太和区,210711
辽宁省,21,锦州市,2107,黑山县,210726
辽宁省,21,锦州市,2107,义县,210727
辽宁省,21,锦州市,2107,凌海市,210781
辽宁省,21,锦州市,2107,北镇市,210782
